,formula
2027,"\beta _ { h } \propto \sum _ { i } ( d _ { i } + \frac { 1 } { 2 } \gamma _ { i } ) - 3 ,"
2028,"T _ { \mu \nu } = T _ { \mu \nu } ^ { ( m a t ) } + \Lambda \, g _ { \mu \nu }"
2029,\frac { 1 } { 2 } ( \operatorname { l o g } \rho ) ^ { \prime \prime } + 2 \nu \rho ( x ) = 0 .
2030,"\tilde { H } _ { \perp } = H _ { \perp } - \frac { 1 } { N } \mu _ { i j } \phi ^ { i j } ,"
2031,"\gamma = \frac { \sqrt { E ^ { 2 } - 1 } } { E } \quad , \quad 0 < \gamma < 1"
2032,"\hat { \Omega } _ { \mu } = \Omega _ { \mu } + 2 i \partial _ { \mu } \phi ,"
2033,"[ \Omega , \Omega ] = 0 , \quad [ { \cal H } , \Omega ] = 0 ,"
2034,"\lambda = \frac { \sqrt { 5 } \, T } { \pi } | \operatorname { s i n } \beta | ,"
2035,"H = \frac { 1 } { 2 } \sum _ { n = 1 } ^ { N } ( P _ { n , n + 1 } - 1 ) ."
2036,"( F , G ) \equiv \sum _ { p a t c h e s } \{ F _ { i } , G _ { i } \} _ { i }"
2037,"[ \Psi _ { i } , \Psi _ { j } ] = \Phi _ { i j } , ule { 1 cm } { 0 cm } \Phi _ { i j } \in H"
2038,"\Delta E _ { s } = \frac { 2 s ( 2 s - 3 ) } { 3 } E _ { s } \ ,"
2039,F _ { \theta \phi } = \sqrt { B ^ { 2 } - \tau _ { 0 } ^ { 4 } } s i n h \theta .
2040,| | P _ { W _ { 4 } } \chi | | ^ { 2 } = | | P _ { W _ { 4 } \cap Z ^ { \perp } } \chi | | ^ { 2 }
2041,E = { u _ { t o t } } \frac { \hbar \kappa ^ { 2 } } { 4 8 \pi }
2042,m ( S _ { i } \otimes S _ { j } ) = S _ { i } \coprod S _ { j } .
2043,"J ^ { a } ( z ) = \sum _ { n , n \in Z } J _ { n } ^ { a } z ^ { n } , ~ \mathrm { f o r } ~ a \in"
2044,\langle V _ { v _ { 1 } } | \langle V _ { v _ { 2 } } | Q ^ { + } | \omega \rangle _ { a b }
2045,\overline { { \Delta } } ^ { a } = \Delta ^ { a } + \frac i \hbar V ^ { a }
2046,[ \partial _ { y } + \partial _ { y } A ] f _ { 0 } = 0 .
2047,"f ( T , U ) \rightarrow ( i c T + d ) ^ { - 2 } ( f ( T , U ) + { \Pi } ( T , U ) ."
2048,"\{ \tilde { T } _ { \alpha } , \tilde { T } _ { \beta } \} = 0 ."
2049,"r _ { + } = n , \qquad m _ { n } = n - { \frac { 4 n ^ { 3 } } { l ^ { 2 } } } \ ."
2050,"\mu _ { 0 } ^ { \prime } \left( y \right) = \pi \left( y \right) ,"
2051,S = \left( \begin{array} { c c } { 0 } & { - 1 } \\ { 1 } & { 0 } \\ \end{array} \right)
2052,R _ { R L } ( \beta ) R _ { R L } ( i \pi + \beta ) = - U _ { R L } ( 2 \beta ) .
2053,p _ { i } = \varepsilon _ { i j } \frac { E _ { j } } { B }
2054,\partial [ a | b | c ] = [ b | c ] - [ a b | c ] + [ a | b c ] - [ a | b ] .
2055,"n _ { \mathrm { S } } = 2 \beta + 5 , \quad n _ { \mathrm { T } } = 2 \beta + 4 ."
2056,"[ \hat { x } ^ { \mu } , \hat { x } ^ { \nu } ] _ { * } = i \, \theta ^ { \mu \nu }"
2057,{ } _ { 3 } \langle I | c _ { 0 } ^ { ( 3 ) } | V _ { 3 } \rangle _ { 1 2 3 } = 0
2058,T _ { H } \sim \frac { M } { S _ { c } } \sim \frac { 1 } { R _ { s } }
2059,4 \pi r ^ { 2 } \sigma ( r ) = \zeta r \left[ f _ { + } ( r ) - f _ { - } ( r ) \right] / 2 .
2060,"p = ( E , { \bf P } ) \qquad k = ( E , - { \bf P } )"
2061,"d s ^ { 2 } = e ^ { 2 A ( r ) } \eta _ { i j } d x ^ { i } d x ^ { j } + d r ^ { 2 } ,"
2062,"\lbrack X ^ { i } ( \tau ) , X ^ { i } ( \tau ) ] = i \theta ^ { i j } ."
2063,k _ { \mu } { } \equiv { } \displaystyle \frac { \partial { \cal S } } { \partial x ^ { \mu } }
2064,"V _ { e n } ^ { a p , a q } = \left( V _ { e n } ^ { p q } \right) ^ { a }"
2065,"k \rightarrow 0 , \; \; \; \mu \rightarrow 1 , \; \; \; x \rightarrow \pi / 2 ,"
2066,{ \cal L } _ { i n t } = c m ( \tau ) \phi [ x ^ { \mu } ( \tau ) ]
2067,P ( \sigma ) = \sigma \prod _ { i = 1 } ^ { N - 1 } ( \sigma + v _ { i } ) = \Lambda ^ { N } .
2068,A _ { \mu } \rightarrow A _ { \mu } + \frac { 1 } { e } \partial _ { \mu } \lambda ( x ) .
2069,"\hat { a } ( t ) = B ( t ) \hat { p } - \dot { B } ( t ) \hat { q } \; ,"
2070,"\Psi _ { N _ { f } } \otimes F _ { 2 } \Sigma _ { N _ { \sigma } , N _ { \sigma } ^ { \prime } } ,"
2071,p _ { + } = \frac { p _ { \perp } ^ { 2 } + m ^ { 2 } } { 2 p _ { - } } \ .
2072,"{ \cal E } ( \theta ) = \frac { \partial k ( \theta ) } { \partial \theta } \, ."
2073,R _ { 2 } ( z ) = G _ { 2 } ^ { 2 } ( z ^ { 2 } - \frac { 1 } { d - 1 } ) + G _ { 0 } ^ { 2 } .
2074,"F = \Phi - [ \! [ \Phi ] \! ] \, , \quad 0 \leq F < 1 \, ,"
2075,"F _ { \varphi r } = \frac { \chi _ { \mathrm { m } } } { 4 \alpha ^ { 2 } r } e ^ { 2 \phi } ,"
2076,\langle
2077,"\gamma _ { \theta , 3 } = \mathrm { d i a g } ( I _ { 2 } , \alpha I _ { 1 } )"
2078,"P _ { L } ^ { 2 } = P _ { R } ^ { 2 } = { \frac { 1 } { 2 } } G ^ { i j } m _ { i } m _ { j } ~ ,"
2079,"Z = \int d \phi \, e ^ { - S _ { 0 } } e ^ { - ( S - S _ { 0 } ) }"
2080,( \stackrel { \scriptstyle v } { \bot } \! { \dot { a } } ) ^ { \hspace { 0 . 3 m m } \mu } = 0 .
2081,\Omega = d v \wedge d w \wedge \frac { d t } { t } R .
2082,"\quad \varphi ( x + \ell ) = e ^ { i \chi } \varphi ( x ) \, \, \, , 0 \leq \chi < 2 \pi \, \, ,"
2083,E _ { m n } ^ { - 1 } = \delta _ { m n } ( \sqrt { n } + \delta _ { m 0 } )
2084,"X ^ { \mu } ( \sigma , \tau ) = l ^ { \mu } ( \sigma + \tau ) + r ^ { \mu } ( \sigma - \tau ) ,"
2085,\frac { \partial } { \partial \theta } ( D _ { \mu } c _ { 5 } ) = O ( \alpha )
2086,\mathcal { L ( } f \mathcal { ) = } \sum _ { f ( x ) = x } \mathcal { L } _ { x } \mathcal { ( } f
2087,"\: r ( \omega ) = \omega \Gamma ( \omega ) / \pi \, , \:"
2088,"\Phi ^ { \prime } ( r ) = { \frac { 1 } { 2 d } } \, { \frac { 1 } { r - r _ { h } } } + \cdots ,"
2089,"\Phi = ( \phi , \phi ^ { a } , \phi ^ { a b } , \phi ^ { a b c } , \ldots )"
2090,"S = - m \int d \tau \, ( - G _ { \mu \nu } \dot { x } ^ { \mu } \dot { x } ^ { \nu } ) ^ { 1 / 2 }"
2091,s _ { n } \rightarrow i \left( - 1 \right) ^ { n + 1 } \tilde { s } _ { n }
2092,Q _ { G _ { 1 } G _ { 2 } } ( t ) = Q _ { G _ { 1 } } ( G _ { 2 } ( t ) ) Q _ { G _ { 2 } } ( t )
2093,\left( D ^ { + } \right) ^ { 2 } = \left( D ^ { - } \right) ^ { 2 } = 0 .
2094,"\partial ^ { \mu } F = f , \quad \mu = \pm , 0 , \tilde { 3 } ,"
2095,"a = \partial _ { 2 } + M \; \; \; \; a ^ { \dagger } = - \partial _ { 2 } + M ,"
2096,"\sigma = k \operatorname { l o g } _ { ( \theta ) } A + \sigma _ { 0 } ,"
2097,\left\{ \begin{array} { r c l } \end{array} \right.
2098,"F _ { 0 1 } ( \tau , x ) = \dot { A } ( \tau , x ) - \nabla A _ { o } ( \tau , x )"
2099,"\stackrel { \scriptstyle v } { \bot } \, \equiv \, { \bf 1 } - \frac { v \otimes v } { v ^ { 2 } }"
2100,e _ { \alpha \beta } \partial _ { \alpha } \psi \partial _ { \beta } \partial ^ { 2 } \psi ~ = ~ 0
2101,\phi _ { \alpha \beta } ( 0 ) = N _ { \alpha \beta } \pi \hbar
2102,A = G _ { n + 2 } \frac { Q } { r ^ { n - 1 } } d t \quad .
2103,"A = - \frac { 1 } { 2 } ( \omega _ { 2 } ^ { 1 } + \omega _ { 4 } ^ { 3 } ) ,"
2104,n _ { g } ^ { a } \partial _ { a } x _ { | \partial M _ { t } } = 0
2105,\Sigma _ { M N R \ldots } = \Sigma _ { [ M } \tilde { \Sigma } _ { N } \Sigma _ { R } \cdots
2106,"V ^ { ( 1 ) } ( w ) = \{ Q , \eta ^ { ( 1 ) } ] + \partial _ { w } \, \eta ^ { ( 2 ) } ( w ) ,"
2107,( \Delta z ) ^ { 2 } \ge \epsilon e ^ { - \sigma - \varphi } .
2108,\gamma ( t ) = \frac { 1 } { M _ { o } } \frac { d \Gamma _ { I } } { d t }
2109,"C _ { n m } = ( - 1 ) ^ { n } \delta _ { n m } \, ."
2110,z y ^ { 2 } = 4 x ^ { 3 } - g _ { 2 } x z ^ { 2 } - g _ { 3 } z ^ { 3 } .
2111,"\left[ \nabla ^ { 2 } + 2 m \epsilon + \varphi \left( { \bf r } \right) \right] \chi = 0 \, ,"
2112,"d \Omega ^ { ( 0 ) } = \frac 1 2 \Omega ^ { + 2 i } \Omega ^ { - 2 i } ,"
2113,f _ { x _ { 1 } } ( x _ { 2 } ) = f _ { x _ { 1 } x _ { 2 } }
2114,"\psi = \sigma _ { \mu } ^ { + } \tau _ { \mu } ^ { + } ( 1 - \gamma _ { 5 } ) \chi ~ ,"
2115,"p _ { i , \mu } \frac { \partial } { \partial p _ { j , \mu } }"
2116,\int d ^ { 2 } \xi \sqrt { | d e t h _ { \alpha \beta } ( \xi ) | } = 1
2117,"\frac { M _ { \sigma } ^ { 2 } } { T ^ { 2 } } [ T ^ { 2 } / T _ { c } ^ { 2 } - 1 ] \ll 1 ,"
2118,"G _ { m n } = \pm e _ { \ m } ^ { a } e _ { \ n } ^ { a } , \label L"
2119,"g _ { d } ^ { 2 } \equiv ( 2 \pi ) ^ { d } \rho ^ { \prime } g ^ { 2 } ,"
2120,a _ { 0 } = 1 \rightarrow a _ { 0 } ^ { \gamma } = { \tilde { f } } _ { \gamma }
2121,"\sigma ( x , y ) = \int { \frac { d p } { ( 2 \pi ) ^ { d } } } e ^ { i p ( x - y ) } \sigma ( p )"
2122,\delta ^ { 2 } L = \frac { 1 } { 2 } \int d ^ { p } x \delta y { \hat { B } } \delta y
2123,"\Pi _ { C } ( \alpha , \beta ) : = \Pi _ { M } ( [ \alpha _ { M } ] , [ \beta _ { M } ] ) | _ { C }"
2124,( 1 + \mid z \mid ^ { 2 } ) ^ { 2 j } ~ D ^ { ( j ) } ~ e ^ { J _ { 3 } \eta } = Z
2125,"R _ { \ t } ^ { t } = \frac { p - 3 } { 8 } Y \, ,"
2126,"\eta \simeq \frac { 8 } { 3 } \epsilon - \frac { 3 8 } { 9 } \epsilon ^ { 2 } + \cdots \; ,"
2127,< A > \left( t \right) = T r \ \rho \left( t \right) \ A
2128,"\partial _ { n } ( u ( x ) \phi ( x ) ) | _ { x = x _ { B } } \ = \ 0 \ ,"
2129,W = \sqrt { ( 2 2 + 5 c ) / 4 8 } \; W _ { s t a n d a r d } \; .
2130,f _ { A } ^ { \prime } = \frac { \partial f } { \partial \phi _ { A } ^ { ( J ) } } D _ { J } .
2131,{ \cal S } = \int _ { { \cal M } ^ { 2 } } ~ ~ ~ ~ { \cal L } _ { 2 }
2132,"z _ { + } ^ { ( 1 ) } z _ { - } ^ { ( 1 ) } + z _ { + } ^ { ( 2 ) } z _ { - } ^ { ( 2 ) } = 0 \, ."
2133,\lambda = \frac { 4 \pi } { \hbar \tilde { \beta } ^ { 2 } } - 1
2134,D _ { F } ( x ) = \frac { 1 } { 4 \pi ^ { 2 } } \frac { 1 } { x ^ { 2 } } .
2135,"K _ { I } = \sum _ { J } \hat { K } _ { J } ( { \cal M } ^ { - 1 } ) _ { J I } ,"
2136,r = \sqrt { d } \left( 1 - \frac { 1 } { 2 N } \right) .
2137,< \phi _ { n } \phi _ { 0 } > \sim \frac { 1 } { n ^ { D - 2 + \eta } }
2138,\delta _ { 0 } { \cal L } _ { 1 } + \delta _ { 1 } { \cal L } _ { 0 } = 0
2139,\Theta _ { k } . \Theta _ { k - 1 } = p _ { k } .
2140,| \langle m \rangle | \ = \ | \langle \tilde { m } \rangle |
2141,S _ { 0 0 } F _ { \gamma } = F _ { \gamma } .
2142,D ( \gamma ^ { \prime } - \gamma ) \approx L
2143,"d f = - [ \theta , f ] ,"
2144,"E = e ^ { 2 \lambda } E _ { 0 } , \quad \Phi = e ^ { \lambda } \Phi _ { 0 } , \quad z = z _ { 0 } ,"
2145,"S ( \nu , k ) = \frac { M ^ { ( + ) } ( \nu , k ) } { M ^ { ( - ) } ( \nu , k ) } ,"
2146,"\Phi = \frac { 1 } { 2 } ( a - \operatorname { l n } r ) . \,"
2147,f ( z ) = \sum _ { n = 0 } ^ { \infty } { f _ { n } z ^ { n } }
2148,{ \tilde { \psi } } ( { \bf { k } } _ { n } r ) = \psi ( { \bf { k } } _ { n } r )
2149,"\tau = \mu - \frac { 8 G J i } { l } \, ."
2150,2 . 1 1 G ^ { i j } = \frac { \delta ^ { i j } } { N _ { i } } + \frac { 1 } { 2 - D }
2151,"\ddot { \bf X } ^ { i } + [ [ { \bf X } ^ { i } , { \bf X } ^ { j } ] , { \bf X } ^ { j } ] = 0 ,"
2152,"P ^ { \mu } ( \Sigma ) = - \mu \int _ { \Sigma } \sqrt { h } \; \eta ^ { \mu } \, ,"
2153,"\varphi = \varphi ^ { - } , ~ ~ \chi = \partial \varphi ^ { + } ,"
2154,f _ { B A } ^ { C ^ { T } } = f _ { C B } ^ { A ^ { T } } = f _ { A C } ^ { B ^ { T } } = - 1
2155,( P - * R ^ { t } ) \delta d B + ( Q - * R ) d \delta B = 0 \quad .
2156,"g _ { 2 } = 4 ( a ^ { 2 } - b ) , \qquad g _ { 3 } = 4 a b ,"
2157,R _ { 2 b } = \varepsilon _ { b c d } \hat { E } _ { 3 } ^ { c } R _ { 1 d }
2158,\rho ( s ) \propto \frac { s } { \operatorname { t a n h } ( 2 \pi s ) } ~ .
2159,"G _ { \alpha \beta } = g _ { \mu \nu } x _ { , \alpha } ^ { \mu } x _ { , \beta } ^ { \nu }"
2160,S = \sum _ { a } \frac { V _ { 2 } } { 4 G _ { 4 } }
2161,"m _ { \lambda \lambda } \propto { \frac { m _ { 3 / 2 } ^ { 3 } } { M _ { p } ^ { 2 } } } \ ,"
2162,"G ( y , \xi ) = { \frac { 1 } { \gamma } } u _ { 1 } ( y _ { < } ) u _ { 2 } ( y _ { > } ) ."
2163,\Delta = r ^ { 2 } - 2 M r + P ^ { 2 } + Q ^ { 2 } - \Sigma ^ { 2 } + a ^ { 2 }
2164,m = 0 \quad : p \longleftrightarrow D - p - 2
2165,"[ W _ { 0 } ] = 2 E _ { 1 } + E _ { 2 } + E _ { 3 } + n F , \qquad [ W _ { F } ] = ( 1 7 - n ) F"
2166,"\dot { \rho } = - 6 H | \dot { \phi } | ^ { 2 } = - 3 H ( \rho + p ) \, ."
2167,"[ \hat { Q } , \hat { P } ^ { 2 } ] = 2 \hat { R } \quad , \quad [ \hat { Q } , \hat { R } ] = - 1"
2168,X _ { m } ( r ) \sim \alpha _ { X } ( N - 2 m + 1 ) r .
2169,\omega ( A ^ { * } A ) \geq 0 \quad A = p o l y n ( a ^ { \# } )
2170,"\psi _ { i } A = \rho ( A ) \psi _ { i } , \quad A \in \mathcal { A }"
2171,"N _ { 1 2 } ( x , b , d ) = - \frac { 1 } { 4 b } h ( d ) \int _ { m } ^ { \infty }"
2172,e B ^ { * } = \frac { e ^ { 2 } | m | } { 4 \pi } \; .
2173,"z = ( z _ { r i } ) _ { r = 1 ; } ^ { m ; } { } _ { i = 1 } ^ { n } \in { \cal P } ,"
2174,X ^ { \prime \prime } ( X ^ { \prime } ( X ) ) = U X ^ { \prime \prime } ( X ) U ^ { \dagger }
2175,\epsilon ^ { \mu \nu \alpha \beta } A _ { \mu \nu \alpha } \partial _ { \beta } a .
2176,"L _ { k } | \Psi \rangle = 0 \; \; \; , \; \; \; k \geq 1 \; \; \; ."
2177,B ^ { \prime } = - \frac { 1 } { \kappa } \rho
2178,M = \sum _ { k = 1 } ^ { N - 1 } k A _ { k } = m + N n _ { N - 1 } \; .
2179,"< < h _ { \mu \nu } > > = 0 ~ , \qquad < < h _ { \mu \nu } h _ { \rho \sigma } > > \ne 0"
2180,"L ^ { a } ( x ) \Delta _ { 0 b } ^ { \mu } ( x ) = 0 \,"
2181,"T r \left( T _ { A } T _ { B } \right) = 2 \delta _ { A B } ,"
2182,"\lambda _ { - } = \alpha \partial _ { - } \theta ,"
2183,{ \cal R } = \Pi - \frac { 2 \nu P } { \alpha { \cal L } ^ { 2 } } q .
2184,< \sigma _ { 3 } > = f _ { \pi } \; \; \; < \pi _ { A } > = 0 = < \phi > .
2185,"\dot { \cal U } + 4 H { \cal U } = 0 \, ."
2186,"\delta x _ { h } ^ { \mu + } = \lambda ^ { \mu + } ( x _ { h } ^ { + } , u ) ,"
2187,"- \lambda ^ { 2 } \, x ^ { + } \left( x ^ { - } + \Delta \right) = { \frac { \kappa } { 4 } } \; ."
2188,E _ { \mathrm { s t r } } = T _ { \mathrm { F S } } r _ { 0 } ^ { 2 } \int e ^ { r } d r .
2189,\psi = e ^ { - \chi } \varphi = g ^ { - \frac 1 4 ( 1 + \gamma ) } \varphi
2190,N _ { c l i q u e s } \approx r _ { 0 } / 2 \cdot \langle Z _ { r ^ { \prime } } \rangle
2191,\partial _ { x } B = \kappa \partial _ { x } ^ { 2 } E + \eta E
2192,2 \pi \omega _ { i } = \frac { L _ { 2 i - 2 } L _ { 2 i - 1 } } { N _ { i } }
2193,Z _ { ( 4 ) } = Z ^ { ( 5 ) } \; \; \; \mathrm { a n d ~ } \; \; \; Z _ { ( 5 ) } = Z ^ { ( 4 ) }
2194,"W _ { k } ( C ) = \mathrm { T r } \int d ^ { 4 } x \, W ( x , C ) \ast e ^ { i k \cdot x }"
2195,"R _ { 7 m n } = - 6 \kappa ^ { 2 } g _ { 7 m n } \quad \textrm { f o r } \quad \kappa \ge 0 \, ."
2196,v ^ { m } \omega _ { m n } = - \frac { \partial G } { \partial \xi ^ { n } }
2197,"( \partial _ { z } - 2 ( \partial _ { z } \rho ) ) T _ { + - } = \partial _ { z } T _ { -- } \, ."
2198,"P \, = \, \frac { 1 } { 2 } ( 1 \! \! 1 \, - \, \Gamma )"
2199,T > \frac { 3 2 } { 2 7 \pi } \frac \epsilon \lambda
2200,"H ^ { \mu \nu } \equiv [ X ^ { \mu } , X ^ { * \nu } ] ,"
2201,Q _ { V } = g \int \phi ^ { \dagger } \; \phi \; d x \; d y \; d z = g
2202,"\frac { Q ( u + \pi ) } { Q ( u ) } = \frac { P ( u + \pi ) } { P ( u ) } ,"
2203,\hat { y } ( h ) = y _ { 0 } + h f ( y _ { 0 } + \frac { h } { 2 } f ( y _ { 0 } ) ) .
2204,A _ { \mu } ^ { a } \rightarrow A _ { \mu } ^ { a } + \mathcal { A } _ { \mu } ^ { a }
2205,"e ^ { - 1 } { \cal L } \ = \ - \frac { 1 } { 2 } \, e ^ { - K / 3 } \, { \cal R } \ + \ \cdots \ ."
2206,"H ( y , t ) \equiv 1 - \frac { \sqrt { 2 } ( 3 \Delta + 8 ) } { 1 2 } \ d ( t ) \ \sigma \ | y | ,"
2207,e ( B _ { 1 } ^ { m } ) = { \frac { \lambda _ { 1 } - \lambda _ { 2 } } { d _ { 1 } } } H .
2208,"J _ { k n } ^ { 0 } = - ( \alpha + n ) \delta _ { k , n } ,"
2209,\nabla ( a s ) \ = \ \delta a \otimes s + a \nabla s
2210,p _ { \mu } = 0 \quad m _ { \mu \nu } = 0 .
2211,E = \frac { 2 \alpha _ { 0 } a _ { 0 } ^ { 3 } M } { R _ { 0 } ^ { 3 } }
2212,\Delta = \frac { \alpha ^ { \prime } } { 2 } k _ { \mu } k ^ { \mu }
2213,"a , b \in { \cal A } , \quad \alpha , \beta \in { \cal V }"
2214,"B _ { i } = \frac { 1 } { 2 } \varepsilon _ { i j k } \{ A _ { j } , A _ { k } \} ,"
2215,"p _ { \mu } = \hbar f ( k ^ { 2 } ) k _ { \mu } \, ."
2216,"Z = \sum _ { a l l \; s t a t e s } e ^ { - \beta H } ,"
2217,\beta ^ { - 1 } S = \beta _ { H m } ^ { - 1 } { \frac { A } { 4 } } .
2218,\frac { 1 } { g _ { 5 } ^ { 2 } } = \frac { 1 } { a g ^ { 2 } } = \frac { f _ { s } } { g } \ .
2219,"6 d \Delta \wedge \Xi _ { 4 } = - 2 i ( * G ) \wedge \Xi _ { 2 } - 3 \, G \wedge \Xi _ { 1 } \ ."
2220,"Q _ { a } \varphi _ { \pm , 0 } ( x ) = 0 ~ ~ ~ ~ \mathrm { f o r } ~ a = 1 , 2 ."
2221,"\alpha i _ { W , 1 } ^ { * } c _ { 1 } = \beta i _ { W , 2 } ^ { * } c _ { 2 } ."
2222,( s + 3 ) \alpha _ { s } ^ { 2 } - ( s + 1 ) \alpha _ { s - 1 } ^ { 2 } = 3 ( s - 1 )
2223,0 = \delta R _ { a b } = - \frac { 1 } { 2 } \Delta _ { L } h _ { a b }
2224,\omega _ { 0 } < \omega < \omega _ { \kappa } \; \; \mathrm { f o r } \; \; \gamma < 0 .
2225,1 / \lambda = ( k / 4 \pi ) \; - \; ( k / 2 \pi ) = - ( k / 4 \pi ) .
2226,\overline { { \eta _ { 2 } ( \zeta ) } } = { \eta _ { 3 } ( \overline { { \zeta } } ) }
2227,\mathrm { P f } ( Q ^ { i } Q ^ { j } ) = \Lambda ^ { 2 ( N + 1 ) }
2228,K _ { 1 1 \mu \nu \xi } ( \tilde { x } ) = K _ { 1 1 \mu \nu \xi } ( x )
2229,C ^ { n } \equiv \frac \partial { \partial T _ { n } } { \cal S } ^ { n } \left( T _ { n } \right)
2230,"\Omega _ { 1 \dots n } = \uparrow \otimes \cdots \otimes \uparrow \, ."
2231,S U ( 3 ) _ { C } \times S U ( 3 ) _ { W } \times S U ( 3 ) _ { H }
2232,\Lambda = - { \frac { 1 } { 2 } } \ell _ { P } ^ { 2 } \stackrel { \sim } { \cal L } _ { 0 } .
2233,\frac { 1 } { 2 } \epsilon ^ { \mu \nu \lambda \rho } B _ { \mu \nu } B _ { \lambda \rho } = 0 .
2234,"g _ { \mu \nu } = \frac 1 2 \eta _ { a b } \{ e _ { \mu } ^ { a } , e _ { \nu } ^ { b } \}"
2235,y ^ { 2 } = 4 x ^ { 3 } - 3 a ^ { 2 } x - ( a ^ { 3 } - ( s + \epsilon t ) ( s - \epsilon t ) ) t
2236,J _ { - + } ( m \ge 0 ) \equiv - \sum _ { p > m } H ( m - p ) H ( p )
2237,{ \frac { 1 } { 2 \pi } } \int _ { Z - Z ^ { \prime } } H \in { \bf Z } .
2238,{ \tilde { E } } _ { \alpha } = A _ { \alpha } ^ { \beta } E _ { \beta }
2239,S = -
2240,"A _ { \mu } ( x ) = - { \frac { 1 } { 2 } } F _ { \mu \nu } x ^ { \nu } ,"
2241,"f _ { \pm } \, ^ { \prime \prime } - ( x ^ { 2 } - \lambda ^ { 2 } \pm 1 ) f _ { \pm } = 0 ."
2242,\tilde { g } _ { \mu \nu } = \tilde { g } _ { \mu \nu } + { \it k } \tilde { h } _ { \mu \nu }
2243,{ \cal P } _ { 0 } ^ { 3 } = - \frac { 1 } { 2 } \nu _ { 0 } e ^ { 2 \phi } .
2244,"\psi _ { i j } ( x ) = 2 ^ { - \frac { D } { 2 } } [ \Psi ( x ) \vee Z _ { j i } ] _ { 0 } ,"
2245,| v | ( \omega + k ) = \pm 2 \operatorname { s i n } ( k / 2 ) .
2246,\Delta \varphi _ { ( k ) } = - i f ( k ) \varphi _ { ( k ) }
2247,"\lambda = - ( k _ { \circ } ^ { 2 } + c ^ { 2 } - 1 ) , \quad k _ { \circ } c = 0 ,"
2248,"\Sigma _ { R } ( D , \beta , L ) = - G ( D , \beta , L ) ."
2249,"\alpha + i \beta = e ^ { i \theta } , ~ ~ ~ ( 0 \leq \theta < \pi ) ,"
2250,"\{ x ^ { i } , x ^ { j } \} = c _ { k l } ^ { i j } x ^ { k } x ^ { l } ,"
2251,"p _ { 1 } d m _ { 1 } + p _ { 2 } d m _ { 2 } - H d \tau = - 2 u d b + 2 w d a + d F ,"
2252,"U ( q ) = - { \frac 1 8 } \, ( q ^ { 2 } - q _ { \ast } ^ { 2 } ) ^ { 2 } ,"
2253,\overline { { W _ { A B C } } } = W _ { \dot { A } \dot { B } \dot { C } }
2254,"V = v ( \phi , Y ) + \frac { \chi ^ { 2 } } { 2 } \, v _ { 2 } ( \phi , Y )"
2255,"\{ t ^ { a } , t ^ { b } \} = { \frac { 1 } { N } } \delta ^ { a b } + d ^ { a b c } t ^ { c }"
2256,\psi _ { n } = 2 \operatorname { t a n } ^ { - 1 } e ^ { a ( n h - b ) }
2257,\alpha ( z ) = z ( 1 + \varepsilon ( z ) ) = z + \sum _ { n = - \infty } ^ { \infty }
2258,\Psi \rightarrow \Psi + \theta _ { 0 } T _ { 0 } ^ { \prime } \Psi + \Psi \theta _ { 0 } T _ { 0 }
2259,A _ { \alpha } \longrightarrow A _ { \alpha } + \frac { 1 } { e } \partial _ { \alpha } \chi \ \ \
2260,"W = h \, \mathrm { T r } ( [ \Phi _ { 1 } , \Phi _ { 2 } ] \Phi _ { 3 } ) \ ,"
2261,S _ { \mathrm { \scriptsize ~ C } } = S _ { \mathrm { \scriptsize ~ G B } } \; .
2262,U ( n _ { f } ) \to U ( r ) \times U ( n _ { f } - r ) .
2263,\Theta _ { 2 } ( x ) \equiv \partial _ { i } \pi ^ { i } + A _ { 0 } \approx 0 .
2264,"\lambda _ { \mu } \, \dot { z } ^ { \mu } = 1 , ~ ~ ~ \lambda ^ { \mu } \, R _ { , \mu } = 1 ."
2265,"N _ { H , e f f } = N _ { H } - 2 N _ { S }"
2266,"\tau _ { i } \longmapsto D _ { n } ( \tau _ { i } ) : = R _ { n } ^ { i , i + 1 }"
2267,"M _ { c } \, \sim M _ { s } g ^ { - 2 } \, ."
2268,i g \tilde { g } \left( \pm \frac { 1 } { 2 } - \frac { 1 } { 2 N } \right)
2269,"d ^ { k ^ { 2 } } v = k ^ { \pm 1 / 2 } d v _ { 0 } \, d ^ { k ^ { 2 } - 1 } \hat { v } ,"
2270,\mu _ { n } ( y ) = y \frac { d } { d y } [ I _ { n } ( y ) K _ { n } ( y ) ] .
2271,\Delta { \cal A } = - 2 \int _ { 0 } ^ { \infty } \frac { \mathrm { d } \zeta } { \zeta }
2272,\delta _ { \omega } \theta _ { \mu } ( x ) \; = \; D _ { \mu } ^ { L } \omega ( x )
2273,"W = \sum _ { i = 1 } ^ { r } \mathrm { e x p } ( - \Phi _ { i } ) ,"
2274,\kappa = \frac { k c _ { G } d _ { G } } { 4 \stackrel { \sim } { h } _ { G } c _ { R } d _ { R } }
2275,"p ( \alpha _ { i } ) = T r [ P _ { \alpha _ { i } } \rho P _ { \alpha _ { i } } ] \; ,"
2276,"\Delta a _ { d } ^ { \prime } = \frac { \pi ^ { n } \, ( d + 1 ) } { { n } ! } \int \mathrm { d }"
2277,"\gamma ^ { \mu } ( - i \nabla _ { \mu } - \tilde { G } _ { \mu } ) { \bf \Psi } = 0 ,"
